height,width,boardnum,maxdepth,time_s
10,10,1,0,0.282
10,10,10,0,0.169
10,10,2,0,0.12
10,10,3,0,0.072
10,10,4,0,0.273
10,10,5,0,0.187
10,10,6,0,0.395
10,10,7,0,0.289
10,10,8,0,0.159
10,10,9,6,1.979
10,15,1,0,0.912
10,15,10,0,1.314
10,15,2,0,0.935
10,15,3,0,0.591
10,15,4,0,0.82
10,15,5,0,0.332
10,15,6,0,0.658
10,15,7,0,0.939
10,15,8,0,0.556
10,15,9,0,0.775
15,15,1,0,1.593
15,15,10,0,5.237
15,15,2,0,4.867
15,15,3,0,6.825
15,15,4,0,5.125
15,15,5,0,6.108
15,15,6,0,4.75
15,15,7,0,1.941
15,15,8,0,2.596
15,15,9,0,2.98
15,20,1,0,12.349
15,20,10,0,9.611
15,20,2,0,21.92
15,20,3,0,13.142
15,20,4,0,11.107
15,20,5,1,9.143
15,20,6,0,6.177
15,20,7,0,19.859
15,20,8,0,7.993
15,20,9,0,9.231
20,20,1,0,30.224
20,20,10,0,23.32
20,20,2,0,27.088
20,20,3,0,32.272
20,20,4,11,46.038
20,20,5,0,14.183
20,20,6,17,601.186
20,20,7,0,71.452
20,20,8,0,14.39
20,20,9,0,13.087
5,10,1,0,0.02
5,10,10,0,0.018
5,10,2,0,0.011
5,10,3,0,0.015
5,10,4,0,0.011
5,10,5,0,0.036
5,10,6,0,0.015
5,10,7,0,0.009
5,10,8,0,0.021
5,10,9,0,0.023
