Height,Width,Boardnum,TimeSeconds
10,10,1,1.7711544036865234
10,10,10,1.4268183708190918
10,10,2,2.304173707962036
10,10,3,0.6738443374633789
10,10,4,2.9322969913482666
10,10,5,1.2725028991699219
10,10,6,1.7496914863586426
10,10,7,1.9045703411102295
10,10,8,0.5363662242889404
10,10,9,1.6522879600524902
10,15,1,4.752381324768066
10,15,10,4.52873420715332
10,15,2,1.4443714618682861
10,15,3,2.8732552528381348
10,15,4,3.8470497131347656
10,15,5,3.9122793674468994
10,15,6,1.8289744853973389
10,15,7,1.9544758796691895
10,15,8,3.808664083480835
10,15,9,1.995924472808838
15,15,1,9.714505434036255
15,15,10,7.121599197387695
15,15,2,9.200382947921753
15,15,3,4.2854368686676025
15,15,4,8.478824853897095
15,15,5,7.11659574508667
15,15,6,8.234001159667969
15,15,7,13.459675312042236
15,15,8,3.6981420516967773
15,15,9,21.63240957260132
15,20,1,11.340257167816162
15,20,10,10.473604679107666
15,20,2,6.826180934906006
15,20,3,12.071038722991943
15,20,4,13.324675559997559
15,20,5,46.26075887680054
15,20,6,8.992779970169067
15,20,7,11.567155599594116
15,20,8,8.599745750427246
15,20,9,10.302417993545532
20,20,1,21.884685516357422
20,20,10,12.167320251464844
20,20,2,14.872039318084717
20,20,3,22.671315670013428
20,20,4,49.64261746406555
20,20,5,29.593334197998047
20,20,6,18.37756657600403
20,20,7,22.056007623672485
20,20,8,53.52794575691223
20,20,9,29.4108989238739
5,10,1,0.26261019706726074
5,10,10,0.12451052665710449
5,10,2,0.20202255249023438
5,10,3,0.3048570156097412
5,10,4,0.12612342834472656
5,10,5,0.3252415657043457
5,10,6,0.3445322513580322
5,10,7,0.1270442008972168
5,10,8,0.4854280948638916
5,10,9,0.2350175380706787
